,symbol,name,price,change,per_change,volume,avg_volume,market_cap,p_e_ratio,year_percent_change
221,UPST,"Upstart Holdings, Inc.",49.66,3.01,6.45,7120000.0,6001000.0,4654000000.0,,85.49
222,MDLZ,"Mondelez International, Inc.",64.98,-2.87,-4.23,8744000.0,11109000.0,84054000000.0,19.0,-5.09
223,TER,"Teradyne, Inc.",86.74,-0.33,-0.38,7111000.0,2867000.0,14028000000.0,26.13,-17.43
224,O,Realty Income Corporation,56.37,-0.34,-0.6,7058000.0,5486000.0,50255000000.0,57.52,8.47
225,CXM,"Sprinklr, Inc.",9.42,1.34,16.58,6999000.0,1617000.0,2396000000.0,62.8,-41.32
226,SAN,"Banco Santander, S.A.",6.5,0.11,1.72,6969000.0,4542000.0,97968000000.0,7.83,43.92
227,GAP,"The Gap, Inc.",21.03,-0.59,-2.73,6939000.0,6076000.0,7931000000.0,9.56,-5.67
228,DDOG,"Datadog, Inc.",102.03,0.07,0.07,6866000.0,4994000.0,34972000000.0,196.21,-17.5
229,IOT,Samsara Inc.,38.02,2.12,5.91,7390000.0,3649000.0,21337000000.0,,-6.41
230,PRMB,Primo Brands Corporation,31.32,1.0,3.3,6799000.0,2838000.0,11905000000.0,,72.47
231,ETSY,"Etsy, Inc.",44.93,-1.94,-4.14,6798000.0,3850000.0,4811000000.0,19.12,-32.81
232,ABT,Abbott Laboratories,130.28,-2.38,-1.79,6769000.0,6444000.0,225947000000.0,17.05,10.4
233,ACI,"Albertsons Companies, Inc.",20.85,-0.61,-2.84,6767000.0,6769000.0,12080000000.0,11.71,2.43
234,CRDO,Credo Technology Group Holding Ltd,47.53,4.17,9.62,7365000.0,5676000.0,8071000000.0,,113.6
235,NET,"Cloudflare, Inc.",119.4,-0.67,-0.56,6763000.0,3744000.0,41202000000.0,,25.2
236,BSX,Boston Scientific Corporation,96.42,0.9,0.94,6766000.0,6682000.0,142295000000.0,77.14,44.64
237,ON,ON Semiconductor Corporation,42.85,-0.01,-0.02,6639000.0,9164000.0,18058000000.0,11.8,-46.35
238,M,"Macy's, Inc.",13.92,0.21,1.53,6538000.0,7145000.0,3866000000.0,6.72,-34.56
239,RBLX,Roblox Corporation,56.86,2.11,3.85,6569000.0,8545000.0,37943000000.0,,35.55
240,COTY,Coty Inc.,5.52,-0.17,-2.99,6466000.0,6664000.0,4813000000.0,,-54.88
241,X,United States Steel Corporation,38.05,0.99,2.67,6431000.0,6933000.0,8570000000.0,24.24,-9.3
242,CEG,Constellation Energy Corporation,215.35,6.77,3.25,6421000.0,4531000.0,67372000000.0,18.11,24.26
243,CAG,"Conagra Brands, Inc.",25.91,-0.8,-3.0,6361000.0,5815000.0,12367000000.0,25.16,-5.78
244,GLW,Corning Incorporated,45.4,0.49,1.09,6324000.0,5337000.0,38888000000.0,78.28,37.21
245,JNJ,Johnson & Johnson,162.85,-3.01,-1.81,8007000.0,9242000.0,392081000000.0,28.13,2.95
246,V,Visa Inc.,332.84,0.7,0.21,6292000.0,6603000.0,642052000000.0,33.52,16.48
247,CNC,Centene Corporation,58.45,-0.12,-0.2,6274000.0,5230000.0,28994000000.0,9.26,-23.66
248,GNW,"Genworth Financial, Inc.",6.44,-0.05,-0.77,6274000.0,4375000.0,2697000000.0,9.2,2.37
249,APO,"Apollo Global Management, Inc.",134.92,4.5,3.45,6258000.0,5294000.0,76969000000.0,18.41,18.59
250,NFLX,"Netflix, Inc.",919.68,24.58,2.75,6850000.0,4070000.0000000005,393400000000.0,46.28,46.87
251,BAX,Baxter International Inc.,34.41,-1.44,-4.02,6202000.0,4984000.0,17605000000.0,,-16.0
252,ABBV,AbbVie Inc.,212.06,-1.53,-0.72,6138000.0,6158000.0,374360000000.0,88.73,18.75
253,NLY,"Annaly Capital Management, Inc.",21.17,0.2,0.95,6192000.0,7957000.0,12244000000.0,13.07,5.22
254,CRGY,Crescent Energy Company,10.72,0.33,3.18,6071000.0,3158000.0,2771000000.0,,-4.45
255,ARCC,Ares Capital Corporation,21.75,-0.11,-0.5,6090000.0,4759000.0,14825000000.0,8.91,5.2
256,ASX,"ASE Technology Holding Co., Ltd.",9.72,0.25,2.64,6024000.0,10275000.0,21158000000.0,22.09,-15.67
257,FYBR,"Frontier Communications Parent, Inc.",35.85,-0.06,-0.17,6106000.0,2581000.0,8952000000.0,,47.72
258,HMY,Harmony Gold Mining Company Limited,11.93,-0.12,-1.0,5927000.0,6809000.0,7423000000.0,13.11,53.11
259,CFLT,"Confluent, Inc.",26.13,0.63,2.47,6554000.0,5523000.0,8728000000.0,,-19.41
260,MRNA,"Moderna, Inc.",35.01,1.25,3.7,6454000.0,11790000.0,13507000000.0,,-68.3
261,CFG,"Citizens Financial Group, Inc.",40.47,0.56,1.4,5917000.0,4040000.0,17691000000.0,13.36,16.36
262,DOW,Dow Inc.,35.75,-0.92,-2.51,6912000.0,7653000.0,25231000000.0,22.77,-36.74
263,COMP,"Compass, Inc.",8.8,0.26,3.04,5880000.0,6070000.0,4820000000.0,,133.97
264,DNB,"Dun & Bradstreet Holdings, Inc.",7.99,-0.06,-0.75,5825000.0,3747000.0,3528000000.0,,-21.62
265,BE,Bloom Energy Corporation,24.55,-0.45,-1.8,5795000.0,6441000.0,5656000000.0,,149.25
266,BTI,British American Tobacco p.l.c.,41.36,0.36,0.88,5791000.0,4314000.0,90857000000.0,23.5,32.86
267,SNOW,Snowflake Inc.,152.37,2.47,1.65,5739000.0,5968000.0,50293000000.0,,-7.65
268,WDC,Western Digital Corporation,42.96,1.16,2.78,5731000.0,8985000.0,14943000000.0,12.42,-11.49
269,FLEX,Flex Ltd.,34.3,0.57,1.69,5707000.0,3610000.0,13140000000.0,14.0,17.32
270,OBDC,Blue Owl Capital Corporation,14.38,-0.12,-0.83,5671000.0,3062000.0,7346000000.0,9.4,-5.17
271,KR,The Kroger Co.,64.99,-1.56,-2.34,5652000.0,6393000.0,42763000000.0,17.71,18.67
272,GSK,GSK plc,38.88,-0.62,-1.57,5601000.0,4780000.0,80833000000.0,24.15,-8.9
273,HBM,Hudbay Minerals Inc.,7.27,0.22,3.12,5580000.0,6431000.0,2871000000.0,36.35,3.22
274,APA,APA Corporation,19.65,0.45,2.34,6694000.0,7847000.0,7154000000.0,8.66,-41.03
275,BK,The Bank of New York Mellon Corporation,80.76,-0.29,-0.36,5489000.0,4278000.0,57984000000.0,13.92,46.62
276,GTES,Gates Industrial Corporation plc,19.26,-0.23,-1.18,5439000.0,2534000.0,4919000000.0,26.03,12.33
277,CLS,Celestica Inc.,89.58,2.99,3.45,5423000.0,4431000.0,10388000000.0,24.81,92.29
278,KIM,Kimco Realty Corporation,20.87,0.25,1.21,5409000.0,4457000.0,14181000000.0,37.95,6.45
279,CRM,"Salesforce, Inc.",284.58,7.53,2.72,6878000.0,6805000.0,273481000000.0,44.68,-9.07
280,CVS,CVS Health Corporation,64.84,-0.14,-0.22,5356000.0,12961000.0,81750000000.0,17.72,-13.45
281,QCOM,QUALCOMM Incorporated,152.8,-0.3,-0.2,7087000.0,8069000.000000001,168997000000.0,16.5,-9.54
282,ARM,Arm Holdings plc,112.7,1.21,1.09,5267000.0,6122000.0,118786000000.0,148.29,-15.07
283,GIS,"General Mills, Inc.",60.03,-2.3,-3.69,5267000.0,5017000.0,33090000000.000004,13.05,-5.6
284,MGM,MGM Resorts International,30.99,-0.3,-0.96,5253000.0,5003000.0,8849000000.0,12.91,-26.99
285,TOST,"Toast, Inc.",34.78,1.33,3.98,5192000.0,6294000.0,19998000000.0,,33.32
